web-scraper-order,web-scraper-start-url,title,date
1628105763-133,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Face mask and hand sanitizer added to hurricane preparedness checklist,4-May-20
1628105763-115,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,The climate crisis could be making Hurricane Sally worse. Here's how,15-Sep-20
1628105763-143,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,A four-man FBI team rescued 150 as Hurricane Harvey flooded Houston,1-Oct-19
1628105763-128,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,"Millions more US homes are at risk of flooding than previously known, new analysis shows",29-Jun-20
1628105763-113,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,More than 10 million people under storm warnings as Tropical Storm Beta crawls toward shore,20-Sep-20
1628105763-121,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Laura is now a hurricane and is forecast to strengthen more before hitting the Gulf Coast,25-Aug-20
1628105763-138,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,America's many toxic waste sites are in areas at risk of worsening natural disasters,20-Nov-19
1628105763-123,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,"When a nearly 12-foot alligator came toward his 4-year-old, this dad sprung into action",6-Aug-20
1628105763-131,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,2017 Atlantic Hurricane Season Fast Facts,15-May-17
1628105763-103,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,They're cooking BBQ by the ton and bringing comfort to thousands of storm weary Texans,26-Feb-21
1628105763-136,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,4 major hurricanes are predicted as part of an above-normal 2020 Atlantic hurricane season,2-Apr-20
1628105763-114,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Hurricane Sally heads toward US Gulf Coast,14-Sep-20
1628105763-135,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Some cities see jumps in domestic violence during the pandemic,4-Apr-20
1628105763-109,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,"Tropical storm Zeta forms, could reach US Gulf Coast by midweek",25-Oct-20
1628105763-132,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Researchers predict up to 19 named storms this hurricane season. Here are their names,1-Jun-20
1628105763-134,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Coronavirus pandemic in the US,21-Apr-20
1628105763-140,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Nearly half of US oil refineries are in states hit by earthquakes and hurricanes,16-Oct-19
1628105763-130,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Tropical depression Cristobal expected to turn back toward the US coast and re-intensify,4-Jun-20
1628105763-144,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Houstonians honor a Sikh deputy killed in the line of duty by spreading his legacy of philanthropy,30-Sep-19
1628105763-125,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Hanna is expected to be a hurricane before it makes landfall in Texas,24-Jul-20
1628105763-129,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Inside an elementary school preparing for fall classes,12-Jun-20
1628105763-142,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Slain Sikh deputy remembered as a pioneer and role model 'with a heart of gold',2-Oct-19
1628105763-108,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,"2020 smashed the record for billion-dollar weather and climate disasters, NOAA says",8-Jan-21
1628105763-145,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,The Sikh community in Houston prepares for the funeral of Deputy Sandeep Singh Dhaliwal,29-Sep-19
1628105763-124,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,"For some environmentalists, 'I can't breathe' is about more than police brutality",27-Jun-20
1628105763-110,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Hurricane Delta hits Louisiana,7-Oct-20
1628105763-117,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,"Hurricanes, fires, floods and locusts: Science says climate change is here but the RNC refuses to believe",28-Aug-20
1628105763-120,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Laura 'rapidly intensified' overnight. Here's what that term means,25-Aug-20
1628105763-102,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Women leaders you should know and the causes they champion,3-Mar-21
1628105763-139,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Houston's 'Mattress Mack' lost $13 million in bets on the Astros World Series loss but says he'd do it again,31-Oct-19
1628105763-107,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Millions without power as winter weather blasts the US,15-Feb-21
1628105763-112,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Hurricane Sandy Fast Facts,13-Jul-13
1628105763-111,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,"Hurricane Delta is about to hit nearly the same spot as Laura in Louisiana, just 6 weeks later",8-Oct-20
1628105763-106,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Millions without power as US braces for another winter storm,16-Feb-21
1628105763-118,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Hurricane Laura makes landfall in the US,25-Aug-20
1628105763-105,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Millions are still without power as winter storms continue,17-Feb-21
1628105763-122,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,2018 In Review Fast Facts,19-Nov-18
1628105763-99,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,At least 11 dead after partial building collapse near Miami,27-Jun-21
1628105763-100,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,"Claudette is likely to form and make landfall in the US this week, delivering close to a foot of rainfall",16-Jun-21
1628105763-119,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Category 4 Laura strengthens and will bring 'unsurvivable' storm surges in Louisiana and Texas,26-Aug-20
1628105763-101,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Houston Police Chief Art Acevedo resigning to lead the Miami department,15-Mar-21
1628105763-127,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,US hits 10th billion-dollar weather disaster of the year -- at a record pace,12-Jul-20
1628105763-137,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,This teen makes adorable bow ties to help get shelter dogs and cats adopted,24-Feb-20
1628105763-104,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Three children and their grandmother died in a Texas fire after trying to stay warm during power outages. Their mom survived,21-Feb-21
1628105763-98,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Hurricane Statistics Fast Facts,31-May-13
1628105763-126,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Tropical Storm Gonzalo expected to become season's first hurricane as a tropical depression forms in Gulf of Mexico,23-Jul-20
1628105763-141,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,"A disaster-recovery loan agent stole hurricane victims' identities to enrich herself, feds allege",10-Oct-19
1628105763-116,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=1&page=1,Climate change didn't cause Hurricane Laura but it did make the storm worse,30-Aug-20
1628105848-191,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Florence threatens more than a million homes without flood insurance,14-Sep-18
1628105848-164,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Florida seeks shelter for 400 animals as Dorian gets closer. Some may be released into the wild,31-Aug-19
1628105848-184,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Hurricane Florence's toll on US homes and businesses has now hit 11 figures,7-Oct-18
1628105848-189,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,"A week after Florence, FEMA is still having to debunk rumors and hoax stories",19-Sep-18
1628105848-176,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Cyclone Idai could be the deadliest tropical cyclone to hit Africa. Here's what you need to know,19-Mar-19
1628105848-171,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Tropical Storm Barry,11-Jul-19
1628105848-149,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,"Here are the ways, big and small, that people are helping Texas flood victims",20-Sep-19
1628105848-175,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,A replica of one of Columbus' ships has sunk in Texas,23-Apr-19
1628105848-187,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,"Florence was the wettest storm in more than half a century, behind Harvey",26-Sep-18
1628105848-188,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,How the US turned Hurricane Maria from a natural disaster to a man-made catastrophe,21-Sep-18
1628105848-166,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Their neighborhood was flooded to save Houston,25-Aug-19
1628105848-148,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Barges break loose and strike a bridge near Houston after Imelda forces 400 water rescues and strands 300 drivers,20-Sep-19
1628105848-190,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,IRS grants tax extensions to Hurricane Florence victims,15-Sep-18
1628105848-159,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,A historically black college is offering displaced University of Bahamas students a free semester,5-Sep-19
1628105848-151,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Serious flooding in Texas,19-Sep-19
1628105848-169,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Barry makes landfall in Louisiana,13-Jul-19
1628105848-155,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Flooding expected in Texas,18-Sep-19
1628105848-167,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,From a debt crisis to Hurricane Maria to a massive texting scandal: Why Puerto Rico is in chaos,18-Jul-19
1628105848-170,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,The climate crisis is making storms like Barry worse,19-Sep-18
1628105848-163,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,What made Dorian stall over the Bahamas?,2-Sep-19
1628105848-150,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Hundreds of cars abandoned in Houston after drivers couldn't get through floodwaters,19-Sep-19
1628105848-153,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Imelda is moving toward Louisiana but flooding threat continues in southeastern Texas,18-Sep-19
1628105848-157,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Tropical Depression Imelda could dump the heaviest rainfall Houston has seen from one storm system since Harvey,17-Sep-19
1628105848-156,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,"5 things to know for September 18: Saudi Arabia, politics, weather, Cokie Roberts",18-Sep-19
1628105848-182,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Here's why some people in the path of a hurricane choose to stay put,11-Sep-18
1628105848-185,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Meet the 'Hurricane Cowboy' who rescues animals in Florence's aftermath,29-Sep-18
1628105848-181,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Hurricane Michael's aftermath,8-Oct-18
1628105848-186,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,"In Florence aftermath, some return home while others face flooding risk",28-Sep-18
1628105848-162,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Hurricane Dorian threatens the US,3-Sep-19
1628105848-154,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Hurricane Humberto's swipe at Bermuda leaves 80% of island without power,18-Sep-19
1628105848-161,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Climate change makes storms like Dorian more dangerous,3-Sep-19
1628105848-174,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Texas just passed a bill to let people carry their handguns for a full week after natural disasters,27-May-19
1628105848-146,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Sandeep Dhaliwal made history as Harris County's first Sikh deputy. Here's why the community loved him,28-Sep-19
1628105848-152,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,"No, a 1-in-500-year rainfall event doesn't mean it happens once in 500 years",19-Sep-19
1628105848-183,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Hurricane Michael is latest storm fueled by 'rapid intensification',8-Oct-18
1628105848-177,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,"5 things to know for December 20: Syria, shutdown, Weinstein, Russia, airport drones",20-Dec-18
1628105848-172,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Here are the names of the hurricanes for the 2019 season,1-Jun-19
1628105848-179,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,2017 In Review Fast Facts,16-Nov-17
1628105848-158,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,"Dorian may be moving away, but there are still two months left of hurricane season",8-Sep-19
1628105848-180,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,California communities rally to save animals caught in wildfires,12-Nov-18
1628105848-147,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,How a crowdsourcing website helped rescue 370 people during Tropical Storm Imelda,21-Sep-19
1628105848-178,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,"The biggest question for hurricane survivors is, 'What now?'",18-Sep-18
1628105848-165,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Hurricane Dorian intensifies as it heads for US,29-Aug-19
1628105848-168,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,"Despite widespread flooding, Louisiana was spared the brunt of Barry's wrath. Here's why",15-Jul-19
1628105848-160,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Hurricanes travel 17% more slowly than they did 75 years ago. Here's why,5-Sep-19
1628105848-173,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=51&page=1,Hurricane season is here. Brace yourself for up to 4 major storms in the Atlantic,1-Jun-19
1628106897-217,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,"Why there will never be another hurricane named Harvey, Irma, Maria or Nate",12-Apr-18
1628106897-194,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,Florence's damage will be widespread no matter where it strikes,11-Sep-18
1628106897-224,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,An evacuation order can mean life or death. Issuing one isn't simple,11-Jan-18
1628106897-207,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,"Flash floods strike coastal south Texas, residents urged to seek higher ground",20-Jun-18
1628106897-193,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,"Free lodging, waived fees and other ways businesses are helping Hurricane Florence evacuees",12-Sep-18
1628106897-222,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,"5 things for March 5: Academy Awards, North and South Korea, flu season",5-Mar-18
1628106897-192,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,How coastal development and climate change are making hurricanes more costly,12-Sep-18
1628106897-218,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,Puerto Rico to get $18 billion from HUD for Hurricane Maria recovery,11-Apr-18
1628106897-200,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,Hawaii faces heavy rains as Tropical Storm Lane remains weak,26-Aug-18
1628106897-223,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,FEMA stresses it's not leaving Puerto Rico,31-Jan-18
1628106897-205,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,Thousands of Puerto Ricans displaced by hurricane won't lose FEMA housing just yet,1-Jul-18
1628106897-221,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,Why are hurricanes the only storms that get a name?,22-Aug-16
1628106897-195,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,"'It's just a heck of a storm,' Florence hurricane hunter says",11-Sep-18
1628106897-202,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,NOAA forecasts below-normal Atlantic hurricane season thanks to El Niño,9-Aug-18
1628106897-233,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,Victory lap: Houston parade celebrates World Series champs,3-Nov-17
1628106897-214,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,How to help the victims of the Santa Fe High School shooting,21-May-18
1628106897-232,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,A look at four storms from one brutal hurricane season,10-Oct-17
1628106897-199,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,"5 things for August 28: White House, Jacksonville, Myanmar, gerrymandering, pollution",28-Aug-18
1628106897-231,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,Hurricane season is finally ending,30-Nov-17
1628106897-211,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,JJ Watt receives honorary doctorate degree from Baylor College of Medicine,29-May-18
1628106897-215,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,"Texas deputies and Santa Fe gunman exchanged fire for 25 minutes, sheriff says",20-May-18
1628106897-227,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,2017: The year Americans couldn't say Gal Gadot (and a lot of other words),29-Dec-17
1628106897-208,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,Houston mayor doesn't want to 'enable' Trump policy by housing immigrant children,19-Jun-18
1628106897-203,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,FEMA admits it was understaffed and underprepared for 2017 hurricanes,13-Jul-18
1628106897-225,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,US shatters record for disaster costs in 2017,8-Jan-18
1628106897-219,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,The 2018 hurricane season could be as busy as the 2017 season,5-Apr-18
1628106897-229,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,"Climate change made Hurricane Harvey's rainfall worse, study finds",13-Dec-17
1628106897-213,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,"J.J. Watt, the NFL star helping out the Santa Fe victims' families, has a long history of philanthropy",21-May-18
1628106897-196,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,Hurricane categories and other terminology explained,5-Sep-18
1628106897-197,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,"5 things for September 4: Gordon, Kavanaugh, Brazil museum fire, Myanmar, NBC News",4-Sep-18
1628106897-234,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,"5 things for October 24: Niger, harassment, tax overhaul, climate, World Series",24-Oct-17
1628106897-230,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,The top Facebook moment of 2017? International Women's Day,6-Dec-17
1628106897-220,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,NFL star Michael Bennett indicted on charge of injury to elderly at Super Bowl,23-Mar-18
1628106897-210,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,Five lessons of the extraordinary 2017 hurricane season,1-Jun-18
1628106897-198,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,Hurricane Lane dumped 52 inches of rain on Hawaii and there might be more on the way,28-Aug-18
1628106897-201,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,A closer look at Omarosa's excerpt on Puerto Rico -- from a reporter who was there,17-Aug-18
1628106897-216,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,"Mother of victim says alleged Texas school shooter asked her daughter on date, was rejected",19-May-18
1628106897-204,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,"Houston streets flood after heavy rains, sparking memories of Harvey",4-Jul-18
1628106897-226,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,"'A good, fresh start:' Texas dad gets new piano after Hurricane Harvey",30-Dec-17
1628106897-209,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,"Hurricanes are slowing, which could be a big problem",6-Jun-18
1628106897-212,https://www.cnn.com/search?q=Hurricane%20Harvey&size=50&sort=newest&category=us&from=101&page=1,Get ready for an above-average hurricane season in 2018,24-May-18
